Named Entity,bin 1,bin 2,bin 3,bin 4,bin 5,bin 6,bin 7,bin 8,bin 9,bin 10 ,bin 11
industry'.,1,0,0,0,0,0,0,0,0,0,0
sheeran,9,7,5,8,9,7,3,2,1,4,24
queen,4,0,0,1,3,1,2,3,2,2,2
justin timberlake,249,145,23,12,15,16,11,3,13,34,11
jimmy page,0,0,0,0,0,0,0,1,1,0,0
nesta,0,0,0,0,0,0,2,1,0,0,0
molly poppin,0,0,0,0,1,0,0,0,0,0,0
calton coffie,0,0,0,0,0,0,0,0,0,1,0
frank oc,2,161,39,17,38,20,13,31,16,13,157
jesus,1,0,0,3,4,2,1,3,2,1,2
ed sheeren,0,0,0,0,0,1,0,1,0,0,1
oz,1,1,5,0,2,3,0,1,2,3,2
amber rose,0,0,1,0,0,0,2,1,0,0,0
rihanna's grammy performance,0,0,0,0,2,0,0,0,0,0,0
maxwell,0,0,0,0,0,0,0,1,0,0,0
yaaaaaaaaaay,0,0,0,0,0,0,0,0,0,0,1
alicia,2,2,317,57,20,9,7,16,3,4,6
rip levon,0,0,0,0,0,0,0,1,0,2,0
amy,0,0,1,0,7,1,2,0,1,2,1
english,0,0,0,0,0,0,0,0,0,2,3
@georgieadam,0,0,0,0,0,0,0,0,0,1,0
usc trojan,1,0,0,0,0,0,0,0,0,0,0
herbie hancock,0,0,0,0,0,0,0,0,1,0,0
dragon,0,1,0,0,0,0,1,0,1,0,0
goyte,0,0,0,0,0,0,0,0,2,1,0
travis,0,1,0,0,1,0,0,0,1,1,51
the lord,0,0,0,0,0,0,0,2,0,0,0
cinemark west,0,0,0,0,0,1,0,0,0,0,0
nicole kidman,0,0,3,1,0,4,4,2,0,1,2
elton john &amp; ed sheera,0,0,0,0,0,0,0,0,0,0,1
ed sheraan,0,0,0,0,0,0,0,0,0,0,1
ou,233,282,256,297,305,287,245,282,265,285,296
taylor hicks,0,0,0,2,0,1,0,0,0,0,0
eminem,0,1,0,0,1,2,0,3,0,1,3
grammys bob marley,0,0,0,0,0,2,4,0,1,0,0
